,latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE,property_data,cluster no
120,40.744982,-74.006919,"""515 West 18th Street""",1,CHELSEA,690,1235,"515 west 18th street, 409",409,10011,"1,690,000",515 west 18th street,0,1,1,4375,52155,10,120,1
385,40.765382,-73.980825,"""888 Seventh Avenue""",1,CHELSEA,774,1011,"252 seventh ave, 3f",3F,10001,"2,400,000",252 seventh ave,0,1,1,16000,55600,4,385,1
420,40.740543,-73.996906,"""144 W 18 St""",1,CHELSEA,793,1310,"144 west 18th street, 400w",400W,10011,"3,585,000",144 west 18th street,0,2,2,8848,52150,99,420,1
584,40.746773,-74.001588,"""405 W 23 St""",1,CHELSEA,721,1054,"405 west 23rd street, 9b",9B,10011,"690,000",405 west 23rd street,26,0,26,10070,117575,1,584,1
598,43.080866,-73.785147,"""376 Broadway""",1,CHINATOWN,172,1163,"376 broadway, ph2",PH2,10013,"1,386,650",376 broadway,0,1,1,3015,21776,88,598,1
636,42.340987,-75.166667,"""139 Center Street""",1,CHINATOWN,197,1218,139 centre st,820,10013,"1,600,000",139 centre st,122,2,124,15104,224400,5,636,1
817,40.717,-74.005836,"""73 Worth St""",1,CIVIC CENTER,173,1213,"73 worth street, 3f",3F,10013,"3,150,000",73 worth street,0,1,1,21774,21627,48,817,1
874,41.955534,-75.284417,"""91 Leonard Street""",1,CIVIC CENTER,174,1624,"91 leonard street, su12",SU12,10013,"16,500",91 leonard street,0,12,12,4067,44063,109,874,1
1163,43.038522,-78.878068,"""123 3rd Avenue""",1,EAST VILLAGE,469,1434,"123 3 avenue, 10c",10C,10003,"1,380,000",123 3 avenue,60,0,60,12500,52980,90,1163,1
1186,40.754067,-73.99334,"""315 West 36th Street""",1,FASHION,760,1010,"315 west 36th street, 14b",14B,10018,"800,000",315 west 36th street,0,1,1,4500,4500,57,1186,1
1262,40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1048,"25 broad street, o005",O005,10004,"822,437",25 broad street,0,8,8,970000,285471,61,1262,1
1298,40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1223,"25 broad street, h017",H017,10004,"798,308",25 broad street,0,9,9,4938,80185,105,1298,1
1333,40.883713,-72.970046,"""20 West Street""",1,FINANCIAL,15,1289,"20 west street, 32c",32C,10004,"520,000",20 west street,0,15,15,5241,48538,109,1333,1
1418,40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1579,"15 william street, 28h",28H,10005,"1,425,000",15 william street,0,23,23,7313,101203,97,1418,1
1617,40.762243,-73.651747,"""130 William Street""",1,FINANCIAL,77,1058,"130 william street, 17d",17D,10038,"1,997,606",130 william street,0,5,5,100000,60740,91,1617,1
1711,40.762243,-73.651747,"""130 William Street""",1,FINANCIAL,77,1177,"130 william street, 43a",43A,10038,"6,251,587",130 william street,63,0,63,19722,43370,14,1711,1
1773,43.12795,-74.470348,"""108 Fifth Avenue""",1,FLATIRON,817,1029,"108 fifth avenue, 11b",11B,10011,"1,715,000",108 fifth avenue,155,1,156,81741,194030,22,1773,1
1790,40.739137,-73.993771,"""32 West 18th Street""",1,FLATIRON,819,1414,"32 west 18th street, 7a",7A,10011,"4,550,000",32 west 18th street,0,4,4,32850,123390,65,1790,1
1854,40.739573,-73.98723,"""280 Park Ave S""",1,FLATIRON,850,1206,"280 park avenue south, 2g",2G,10010,"1,050,000",280 park avenue south,59,5,64,13325,55400,94,1854,1
1883,40.832311,-73.410212,"""5 East 22nd Street""",1,FLATIRON,851,1423,"5 east 22nd street, 19t",19T,10010,"998,500",5 east 22nd street,0,1,1,324075,40846,88,1883,1
1913,40.760504,-73.976856,"""666 Fifth Avenue""",1,FLATIRON,856,1251,"225 fifth avenue, 10n",10N,10010,"1,650,000",225 fifth avenue,0,1,1,12169,46808,93,1913,1
1915,40.743144,-73.987192,"""15 East 26th Street""",1,FLATIRON,856,1328,"15 east 26th street, 12c",12C,10010,"1,825,000",15 east 26th street,110,1,111,4938,106153,11,1915,1
1940,42.462528,-75.058995,"""1 Irving Place""",1,GRAMERCY,870,1126,"1 irving place, p15g",P15G,10003,"738,000",1 irving place,0,1,1,41764,118230,44,1940,1
2011,40.738997,-73.983959,"""150 E 23 St""",1,GRAMERCY,878,1209,"150 east 23rd street, 4b",4B,10010,"1,095,000",150 east 23rd street,40,0,40,9486,37065,108,2011,1
2187,40.725702,-73.994296,"""40 Bleecker St""",1,GREENWICH VILLAGE-CENTRAL,521,1653,"40 bleecker street, 9c",9C,10012,"3,650,000",40 bleecker street,29,2,31,5000,31690,98,2187,1
2197,40.728167,-73.999769,"""184 Thompson St""",1,GREENWICH VILLAGE-CENTRAL,525,1652,"184 thompson street, 3j",3J,10012,"700,000",184 thompson street,40,0,40,8096,46464,87,2197,1
2204,40.728167,-73.999769,"""184 Thompson St""",1,GREENWICH VILLAGE-CENTRAL,525,1698,"184 thompson street, 1s",1S,10012,"1,150,000",184 thompson street,41,0,41,9908,42924,97,2204,1
2273,40.736615,-73.99698,"""65 W 13 St""",1,GREENWICH VILLAGE-CENTRAL,577,1139,"65 west 13th street, 6c",6C,10011,"3,300,000",65 west 13th street,45,2,47,9500,42900,93,2273,1
2418,40.737237,-74.000416,"""175 West 12th Street""",1,GREENWICH VILLAGE-WEST,608,1079,"175 west 12th street, 7e",7E,10011,"1,550,000",175 west 12th street,68,0,68,19360,53252,64,2418,1
2419,40.737237,-74.000416,"""175 West 12th Street""",1,GREENWICH VILLAGE-WEST,608,1094,"175 west 12th street, 8g",8G,10011,"1,165,000",175 west 12th street,52,6,58,12490,58810,100,2419,1
2431,41.053341,-72.420209,"""45 Christopher Street""",1,GREENWICH VILLAGE-WEST,610,1070,"45 christopher street, 10b",10B,10014,"3,400,000",45 christopher street,26,0,26,10070,117575,1,2431,1
2671,40.799322,-73.954453,"""145 Central Park North""",1,HARLEM-CENTRAL,1820,1429,"145 central park north, 10b",10B,10026,"2,100,000",145 central park north,0,1,1,7431,22000,109,2671,1
2707,40.804503,-73.951103,"""159 W 118 St""",1,HARLEM-CENTRAL,1903,1333,"159 west 118 street, phe",PHE,10026,"1,240,000",159 west 118 street,52,3,55,21014,65000,93,2707,1
2969,40.810592,-73.940109,"""9 W 131 St""",1,HARLEM-CENTRAL,1729,1213,"9 west 131 street, bsto4",BSTO4,10037,"1,495,000",9 west 131 street,58,0,58,15800,46680,84,2969,1
3089,40.753337,-74.003329,"""553 W 30 St""",1,JAVITS CENTER,702,1062,"553 west 30th street, 30a",30A,10001,"4,328,750",553 west 30th street,42,0,42,9900,46800,89,3089,1
3129,40.754582,-74.00228,"""35 Hudson Yards""",1,JAVITS CENTER,702,1452,"35 hudson yards, 6203",6203,10001,"4,053,750",35 hudson yards,60,0,60,39790,45117,68,3129,1
3173,40.747376,-73.97138,"""685 First Avenue""",1,KIPS BAY,945,1167,"685 first avenue, 34h",34H,10016,"3,225,000",685 first avenue,0,4,4,106000,105989,6,3173,1
3186,40.737064,-73.979374,"""340 E 23 St""",1,KIPS BAY,928,1219,"340 east 23rd street, 3i",3I,10010,"619,000",340 east 23rd street,83,6,89,12002,74453,17,3186,1
3242,40.741955,-73.975721,"""343 East 30th Street""",1,KIPS BAY,936,2128,"343 east 30th street, 10-a",10-A,10016,"795,000",343 east 30th street,77,0,77,18164,57006,54,3242,1
3249,40.741955,-73.975721,"""343 East 30th Street""",1,KIPS BAY,936,2218,"343 east 30th street, 17-g",17-G,10016,"599,000",343 east 30th street,14,21,35,8787,114488,116,3249,1
3275,40.74323,-73.975571,"""330 East 33rd Street""",1,KIPS BAY,936,4197,"330 east 33rd street, 16-a",16-A,10016,"850,000",330 east 33rd street,147,1,148,18600,156200,45,3275,1
3343,40.746895,-73.973461,"""308 E 38 St""",1,KIPS BAY,943,1947,"308 east 38th street, 10d",10D,10016,"7,772,792",308 east 38th street,41,0,41,16110,51089,90,3343,1
3364,40.649654,-73.941502,"""311 East 38th Street""",1,KIPS BAY,944,1116,"311 east 38th street, 28c",28C,10016,"1,250,000",311 east 38th street,46,9,55,12000,47350,98,3364,1
3367,40.747376,-73.97138,"""685 First Avenue""",1,KIPS BAY,945,1122,"685 first avenue, 30g",30G,10016,"2,400,000",685 first avenue,43,1,44,3000,67810,5,3367,1
3383,42.09618,-76.028156,"""373 First Ave""",1,KIPS BAY,968,1014,"630 first avenue, 4g",4G,10016,"735,000",630 first avenue,0,1,1,52717,84280,59,3383,1
3472,40.716337,-73.991565,"""42 Allen St""",1,LOWER EAST SIDE,308,1004,"42 allen street, 6b",6B,10002,"1,876,635",42 allen street,0,15,15,14479,179186,114,3472,1
3493,43.169905,-78.682459,"""250 South Street""",1,LOWER EAST SIDE,248,1147,"250 south street, 19e",19E,10002,"2,025,226",250 south street,0,1,1,70008,49148,34,3493,1
3513,43.169905,-78.682459,"""250 South Street""",1,LOWER EAST SIDE,248,1319,"250 south street, 33j",33J,10002,"1,321,235",250 south street,148,2,150,47000,165000,63,3513,1
3514,40.710128,-73.991346,"""252 South St""",1,LOWER EAST SIDE,248,1336,"252 south street, 34n",34N,10002,"1,439,733",252 south street,43,0,43,9167,30953,3,3514,1
3637,42.665753,-74.321423,"""196 Orchard Street""",1,LOWER EAST SIDE,412,1292,"196 orchard street, ph11e",PH11E,10002,"3,250,000",196 orchard street,31,5,36,6950,30858,97,3637,1
3778,40.799664,-73.959078,"""480 Central Park West""",1,MANHATTAN VALLEY,1844,1036,"480 central park west, 4a",4A,10025,"735,000",480 central park west,0,1,1,5010,29967,100,3778,1
4025,40.756428,-73.968871,"""224 East 52nd Street""",1,MIDTOWN EAST,1325,1010,"224 east 52nd street, 10",10,10022,"1,150,000",224 east 52nd street,52,2,54,12530,56652,108,4025,1
4171,40.756522,-73.964928,"""350 East 54th Street""",1,MIDTOWN EAST,1346,1221,"350 e. 54th street, 6c",6C,10022,"510,000",350 e. 54th street,48,0,48,12490,52290,106,4171,1
4172,40.756522,-73.964928,"""350 East 54th Street""",1,MIDTOWN EAST,1346,1230,"350 east 54th street, 5e",5E,10022,"685,000",350 east 54th street,42,0,42,12350,50000,106,4172,1
4207,40.756146,-73.962939,"""415 East 54th Street""",1,MIDTOWN EAST,1366,1035,"415 east 54th street, 9 c",9 C,10022,"1,350,000",415 east 54th street,180,0,180,60155,161520,62,4207,1
4555,40.764409,-73.985047,"""301 W 53 St""",1,MIDTOWN WEST,1044,1220,"301 west 53rd street, 22d",22D,10019,"1,400,000",301 west 53rd street,60,3,63,17175,60200,88,4555,1
4583,40.766801,-73.984937,"""333 W 56 St""",1,MIDTOWN WEST,1047,1395,"333 west 56th street, 6g",6G,10019,"604,000",333 west 56th street,54,0,54,11500,56000,83,4583,1
4597,40.767055,-73.985531,"""353 West 56th Street""",1,MIDTOWN WEST,1047,1592,"353 west 56th street, 11g",11G,10019,"2,300,000",353 west 56th street,36,5,41,9983,48060,103,4597,1
4619,40.766815,-73.984152,"""322 West 57th Street""",1,MIDTOWN WEST,1047,2503,"322 west 57 street, 50d2",50D2,10019,"3,000,000",322 west 57 street,62,0,62,16000,66932,53,4619,1
4641,40.769028,-73.982801,"""80 Columbus Cir""",1,MIDTOWN WEST,1049,1167,"80 columbus circle, nt68e",NT68E,10023,"5,450,000",80 columbus circle,14,21,35,8787,114488,116,4641,1
4646,40.757654,-73.979314,"""18 W 48 St""",1,MIDTOWN WEST,1263,1036,"18 west 48th street, 9a",9A,10036,"915,000",18 west 48th street,14,12,26,11500,35000,88,4646,1
4650,40.761231,-73.977454,"""15 West 53rd Street""",1,MIDTOWN WEST,1269,1053,"15 west 53rd street, 15h",15H,10019,"895,000",15 west 53rd street,47,0,47,14000,52320,98,4650,1
4760,40.807733,-73.951629,"""238 W 122 St""",1,MORNINGSIDE HEIGHTS,1977,1068,"543 west 122 street, 10g",10G,10027,"1,212,736",543 west 122 street,62,2,64,9285,58907,120,4760,1
4779,40.807733,-73.951629,"""238 W 122 St""",1,MORNINGSIDE HEIGHTS,1977,1111,"543 west 122nd street, 17c",17C,10027,"2,046,683",543 west 122nd street,0,1,1,6543,34312,120,4779,1
4788,40.807733,-73.951629,"""238 W 122 St""",1,MORNINGSIDE HEIGHTS,1977,1125,"543 west 122nd street, 19e",19E,10027,"2,270,000",543 west 122nd street,0,1,1,3377,44836,13,4788,1
4840,40.647416,-73.950325,"""30 E 29 St""",1,MURRAY HILL,858,1343,"30 east 29th street, 19c",19C,10002,"1,935,000",30 east 29th street,60,1,61,13625,54261,92,4840,1
4913,40.760504,-73.976856,"""666 Fifth Avenue""",1,MURRAY HILL,859,1582,"277 fifth avenue, 34a",34A,10016,"4,296,927",277 fifth avenue,0,1,1,4664,21490,93,4913,1
5120,40.68799,-73.949697,"""325 Lexington Ave""",1,MURRAY HILL,894,2037,"325 lexington avenue, 10e",10E,10016,"980,000",325 lexington avenue,0,3,3,5021,36674,89,5120,1
5323,40.727343,-74.006431,"""77 Charlton St""",1,SOHO,580,1141,"77 charlton street, n5c",N5C,10014,"2,080,000",77 charlton street,0,3,3,2500,17131,87,5323,1
5333,40.727343,-74.006431,"""77 Charlton St""",1,SOHO,580,1152,"77 charlton street, s5g",S5G,10014,"1,275,867",77 charlton street,51,0,51,10000,45000,88,5333,1
5353,40.727343,-74.006431,"""77 Charlton St""",1,SOHO,580,1173,"77 charlton street, n7g",N7G,10014,"1,291,086",77 charlton street,0,13,13,12068,34500,89,5353,1
5437,40.727343,-74.006431,"""77 Charlton St""",1,SOHO,580,1262,"77 charlton street, spha",SPHA,10014,"4,234,071",77 charlton street,0,16,16,7406,73106,90,5437,1
5533,40.727156,-74.00442,"""29 Charlton St""",1,SOHO,597,1350,"110 charlton street, 26a",26A,10014,"4,305,711",110 charlton street,0,1,1,12740,63360,93,5533,1
5637,40.711446,-74.00747,"""25 Park Row""",1,SOUTHBRIDGE,90,1378,"25 park row, 28c",28C,10038,"3,550,000",25 park row,74,0,74,7554,36750,89,5637,1
5893,42.465042,-75.070518,"""140 West Street""",1,TRIBECA,84,1043,"140 west street, 12j",12J,10007,"1,799,500",140 west street,54,0,54,13239,56634,107,5893,1
6001,41.382822,-74.687712,"""67 Hudson St""",1,TRIBECA,180,1116,"67 hudson street, 4c",4C,10013,"880,000",67 hudson street,122,2,124,15104,224400,5,6001,1
6233,40.764673,-73.964597,"""188 E 64 St""",1,UPPER EAST SIDE (59-79),1398,1046,"188 east 64th street, 1002",1002,10065,"1,300,000",188 east 64th street,59,0,59,20000,69491,88,6233,1
6309,40.763018,-73.96496,"""200 East 62nd Street""",1,UPPER EAST SIDE (59-79),1416,1039,"200 east 62nd street, 10c",10C,10065,"1,995,000",200 east 62nd street,60,0,60,14886,57512,107,6309,1
6356,40.765083,-73.961993,"""200 East 66th Street""",1,UPPER EAST SIDE (59-79),1420,1130,"200 east 66th street, a0308",A0308,10065,"1,350,000",200 east 66th street,0,1,1,14200,42600,66,6356,1
6502,40.763484,-73.958111,"""404 East 66th Street""",1,UPPER EAST SIDE (59-79),1460,1115,"404 east 66th street, 11h",11H,10065,"2,125,000",404 east 66th street,286,0,286,84425,267008,57,6502,1
6588,40.766647,-73.952844,"""515 E 72 St""",1,UPPER EAST SIDE (59-79),1484,1114,"515 east 72nd street, 10h",10H,10021,"821,300",515 east 72nd street,58,0,58,15450,47636,89,6588,1
6593,40.766647,-73.952844,"""515 E 72 St""",1,UPPER EAST SIDE (59-79),1484,1244,"515 east 72nd street, 23f",23F,10021,"2,030,000",515 east 72nd street,0,19,19,11243,58340,117,6593,1
6649,40.773128,-73.959129,"""170 East 77th Street""",1,UPPER EAST SIDE (59-79),1411,1172,"170 east 77th street, sto14",STO14,10075,"2,910,000",170 east 77th street,88,0,88,20034,88386,89,6649,1
6795,40.649519,-73.918537,"""141 East 88th Street""",1,UPPER EAST SIDE (79-96),1517,1161,"141 east 88th street, 9c",9C,10128,"3,400,000",141 east 88th street,53,0,53,14800,50274,94,6795,1
6818,40.774874,-73.956321,"""201 East 80th Street""",1,UPPER EAST SIDE (79-96),1526,1060,"201 east 80th street, 10g",10G,10075,"3,035,000",201 east 80th street,66,0,66,24835,63866,12,6818,1
6823,40.774704,-73.955861,"""215 East 80th Street""",1,UPPER EAST SIDE (79-96),1526,1249,"215 east 80th street, le",LE,10075,"659,000",215 east 80th street,0,2,2,270505,64167,17,6823,1
6831,40.775682,-73.955866,"""1437 3rd Avenue""",1,UPPER EAST SIDE (79-96),1527,1054,"1437 3 avenue, 21a",21A,10028,"1,750,000",1437 3 avenue,222,0,222,45700,202418,88,6831,1
7154,40.781972,-73.948213,"""300 E 93 St""",1,UPPER EAST SIDE (79-96),1555,1140,"300 east 93rd street, 42a",42A,10128,"1,225,000",300 east 93rd street,56,6,62,10365,50932,106,7154,1
7281,40.780291,-73.955632,"""120 E 87 St""",1,UPPER EAST SIDE (79-96),1515,1175,"120 east 87th street, st-72",ST-72,10128,"11,000",120 east 87th street,0,4,4,16525,96586,88,7281,1
7372,40.770307,-73.982812,"""15 West 61st Street""",1,UPPER WEST SIDE (59-79),1114,1694,"15 west 61st street, 12f",12F,10023,"3,225,000",15 west 61st street,90,0,90,30350,98681,63,7372,1
7384,40.770307,-73.982812,"""15 West 61st Street""",1,UPPER WEST SIDE (59-79),1114,1737,"15 west 61st street, 23b",23B,10023,"3,205,125",15 west 61st street,107,0,107,58700,111102,60,7384,1
7403,40.770499,-73.980346,"""25 Central Park West""",1,UPPER WEST SIDE (59-79),1115,1253,"25 central park west, 11e",11E,10023,"2,950,000",25 central park west,103,0,103,5760,72781,89,7403,1
7441,40.771863,-73.981597,"""20 W 64 St""",1,UPPER WEST SIDE (59-79),1116,1283,"20 west 64th street, 32j",32J,10023,"2,960,000",20 west 64th street,0,1,1,21800,84650,108,7441,1
7544,40.774436,-73.981352,"""101 W 67 St""",1,UPPER WEST SIDE (59-79),1139,1475,"101 west 67th street, 55p2a",55P2A,10023,"5,870,000",101 west 67th street,33,0,33,8998,82638,3,7544,1
7548,40.776,-73.983124,"""155 West 68th Street""",1,UPPER WEST SIDE (59-79),1140,1036,"155 west 68th street, 18-02",18-02,10023,"825,000",155 west 68th street,59,0,59,17000,56500,85,7548,1
7695,40.7789,-73.984912,"""240 West End Avenue""",1,UPPER WEST SIDE (59-79),1162,1026,"240 west end avenue, 7c",7C,10023,"975,000",240 west end avenue,0,15,15,6994,79465,104,7695,1
7758,40.779136,-73.98803,"""200 Riverside Boulevard""",1,UPPER WEST SIDE (59-79),1171,1150,"200 riverside boulevard, 35c",35C,10069,"1,945,000",200 riverside boulevard,0,1,1,20190,31640,99,7758,1
7830,40.7764,-73.989252,"""120 Riverside Blvd""",1,UPPER WEST SIDE (59-79),1171,3068,"120 riverside boulevard, ph4d",PH4D,10069,"1,920,000",120 riverside boulevard,0,4,4,34660,86160,87,7830,1
8028,40.77425,-73.98289,"""155 West 66th Street""",1,UPPER WEST SIDE (59-79),1138,1590,"155 west 66th street, 1029",1029,10023,"280,000",155 west 66th street,0,1,1,15002,32700,123,8028,1
8033,40.777812,-73.979096,"""105 West 72nd Street""",1,UPPER WEST SIDE (59-79),1144,1001,"105 west 72nd street, comm1",COMM1,10023,"5,500,000",105 west 72nd street,0,1,1,3497,71706,10,8033,1
8058,40.58723,-73.660812,"""240 Riverside Boulevard""",1,UPPER WEST SIDE (59-79),1171,2288,"240 riverside boulevard, su 20",SU 20,10069,"1,220,000",240 riverside boulevard,81,10,91,28444,122800,87,8058,1
8162,40.794044,-73.97607,"""329 W 93 St""",1,UPPER WEST SIDE (79-96),1223,1284,"100 west 93rd street, 27b",27B,10025,"388,944",100 west 93rd street,0,1,1,3757,74128,10,8162,1
8250,40.794044,-73.97607,"""329 W 93 St""",1,UPPER WEST SIDE (79-96),1223,1481,"100 west 93rd street, 29h",29H,10025,"428,360",100 west 93rd street,0,3,3,9067,50000,103,8250,1
8313,40.788712,-73.975741,"""2376 Broadway""",1,UPPER WEST SIDE (79-96),1234,1244,"2376 broadway, 301",301,10024,"2,341,668",2376 broadway,0,1,1,2766,14166,97,8313,1
8348,40.790971,-73.975129,"""250 W 90 St""",1,UPPER WEST SIDE (79-96),1237,1128,"250 west 90th street, 8b",8B,10024,"654,750",250 west 90th street,28,3,31,6068,26797,89,8348,1
8363,40.790441,-73.973352,"""203 West 90th Street""",1,UPPER WEST SIDE (79-96),1238,1029,"203 west 90th street, 4h",4H,10024,"2,621,994",203 west 90th street,0,1,1,25549,31600,59,8363,1
8392,40.794868,-73.97306,"""732 West End Avenue""",1,UPPER WEST SIDE (79-96),1243,1303,"732 west end avenue, 3",3,10025,"2,250,000",732 west end avenue,0,1,1,4938,71500,11,8392,1
8622,40.602342,-73.996131,"""28 Bay 28th Street""",3,BATH BEACH,6378,1102,"68 bay 28th street, 1b",1B,11214,"156,888",68 bay 28th street,0,1,1,2469,20344,18,8622,1
8688,40.784915,-73.95721,"""6 East 92nd Street""",3,BAY RIDGE,6099,1110,"60 92nd street, 6b",6B,11209,"977,520",60 92nd street,59,0,59,12467,63990,91,8688,1
8842,40.696162,-73.948053,"""114 Stockton St""",3,BEDFORD STUYVESANT,1747,1306,"114 stockton street, 1b",1B,11206,"1,527,375",114 stockton street,0,16,16,8034,57606,111,8842,1
8906,40.695534,-73.9491,"""569 Marcy Ave""",3,BEDFORD STUYVESANT,1747,1836,"569 marcy avenue, 8b",8B,11206,"994,830",569 marcy avenue,100,0,100,30274,49202,47,8906,1
8926,42.936076,-76.588268,"""21 Myrtle Ave""",3,BEDFORD STUYVESANT,1756,1039,"940 myrtle avenue, 9c",9C,11206,"861,000",940 myrtle avenue,159,0,159,124925,217360,64,8926,1
9009,40.684168,-73.953904,"""1149 Bedford Ave""",3,BEDFORD STUYVESANT,1822,1010,"1149 bedford avenue, 5b",5B,11216,"845,000",1149 bedford avenue,0,1,1,21814,43225,111,9009,1
9241,40.693787,-73.957074,"""152 Skillman St""",3,BEDFORD STUYVESANT,1913,1708,"152 skillman street, 8",8,11205,"460,000",152 skillman street,0,1,1,67886,50000,22,9241,1
9273,40.686583,-73.955117,"""151 Quincy St""",3,BEDFORD STUYVESANT,1971,1207,"151 quincy street, 3b",3B,11216,"770,000",151 quincy street,90,0,90,17227,95040,85,9273,1
9286,40.892488,-73.342883,"""39 Jefferson Avenue""",3,BEDFORD STUYVESANT,1996,1401,"39 jefferson avenue, 1",1,11216,"1,110,038",39 jefferson avenue,0,53,53,4970,28850,9,9286,1
9556,40.683611,-73.980916,"""324 Dean Street""",3,BOERUM HILL,198,1009,"324 dean street, 3a",3A,11217,"1,635,000",324 dean street,0,4,4,20000,60000,100,9556,1
9654,40.628607,-73.99701,"""1342 59th Street""",3,BOROUGH PARK,5712,1102,"1342 59th street, 2",2,11219,"750,000",1342 59th street,0,1,1,9530,49197,109,9654,1
9661,40.617374,-74.002911,"""15th Avenue Mini Market Corp""",3,BOROUGH PARK,5366,1018,"3805 15th avenue, 40",40,11218,"790,000",3805 15th avenue,0,4,4,14571,14012,10,9661,1
9707,40.637208,-73.979699,"""406 Dahill Road""",3,BOROUGH PARK,5457,1031,"886 dahill road, 406",406,11204,"885,878",886 dahill road,47,0,47,79608,55331,17,9707,1
9737,40.625979,-73.9777,"""1935 49 Road""",3,BOROUGH PARK,5457,1070,"1935 49th road, g06",G06,11204,"992,794",1935 49th road,78,0,78,15000,67652,93,9737,1
9794,40.626221,-73.978121,"""1925 49 Road""",3,BOROUGH PARK,5457,1138,"1925 49th road, 404",404,11204,"997,885",1925 49th road,79,0,79,18560,86500,89,9794,1
9815,40.626221,-73.978121,"""1925 49 Road""",3,BOROUGH PARK,5457,1159,"1925 49th road, 803",803,11204,"940,435",1925 49th road,44,5,49,10625,58650,94,9815,1
9820,40.626385,-73.978405,"""1913 49 Road""",3,BOROUGH PARK,5457,1164,"1913 49th road, g01",G01,11204,"935,000",1913 49th road,99,0,99,14500,88227,10,9820,1
